# -log(1-Mr/M*)    X_O        X_C        X_He       X_H         B          N^2
     2.103567   0.000000   0.072890   0.927110   0.000000   0.298334   0.11418E+00
     2.151503   0.000000   0.050829   0.949171   0.000000   0.224378   0.11510E+00
     2.199632   0.000000   0.035008   0.964992   0.000000   0.161541   0.11763E+00
     2.247946   0.000000   0.023930   0.976070   0.000000   0.112489   0.12200E+00
     2.296440   0.000000   0.016295   0.983705   0.000000   0.076442   0.12823E+00
     2.345108   0.000000   0.011083   0.988917   0.000000   0.051048   0.13624E+00
     2.393943   0.000000   0.007543   0.992457   0.000000   0.033674   0.14593E+00
     2.442940   0.000000   0.005145   0.994855   0.000000   0.022186   0.15723E+00
     2.492093   0.000000   0.003520   0.996480   0.000000   0.014404   0.17010E+00
     2.541395   0.000000   0.002417   0.997583   0.000000   0.009344   0.18454E+00
     2.590840   0.000000   0.001666   0.998334   0.000000   0.006075   0.29088E+00
     2.640422   0.000000   0.000000   0.997110   0.002890   0.003971   0.32883E+00
     2.690136   0.000000   0.000000   0.996659   0.003341   0.148820   0.26880E+00
     2.740058   0.000000   0.000000   0.996137   0.003863   0.052067   0.29759E+00
     2.790024   0.000000   0.000000   0.995530   0.004470   0.057211   0.32905E+00
     2.840107   0.000000   0.000000   0.994825   0.005175   0.062839   0.36423E+00
     2.890302   0.000000   0.000000   0.994006   0.005994   0.068986   0.40363E+00
     2.940604   0.000000   0.000000   0.993052   0.006948   0.075687   0.44782E+00
     2.991008   0.000000   0.000000   0.991943   0.008057   0.082999   0.49747E+00
     3.041508   0.000000   0.000000   0.990650   0.009350   0.091015   0.55337E+00
     3.092101   0.000000   0.000000   0.989142   0.010858   0.099846   0.61646E+00
     3.142783   0.000000   0.000000   0.987380   0.012620   0.107175   0.68784E+00
     3.193548   0.000000   0.000000   0.985321   0.014679   0.117439   0.76902E+00
     3.244394   0.000000   0.000000   0.982908   0.017092   0.128871   0.86155E+00
     3.295316   0.000000   0.000000   0.980078   0.019922   0.141695   0.96742E+00
     3.346311   0.000000   0.000000   0.976752   0.023248   0.156181   0.10891E+01
     3.397376   0.000000   0.000000   0.972832   0.027168   0.172669   0.12297E+01
     3.448509   0.000000   0.000000   0.968202   0.031798   0.191558   0.13928E+01
     3.499706   0.000000   0.000000   0.962717   0.037283   0.213235   0.15832E+01
     3.550965   0.000000   0.000000   0.956195   0.043805   0.238118   0.18070E+01
     3.602276   0.000000   0.000000   0.948411   0.051589   0.266721   0.20719E+01
     3.653643   0.000000   0.000000   0.939074   0.060926   0.299582   0.23889E+01
     3.705067   0.000000   0.000000   0.927816   0.072184   0.337324   0.27704E+01
     3.756549   0.000000   0.000000   0.914156   0.085844   0.380562   0.32343E+01
     3.808094   0.000000   0.000000   0.897465   0.102535   0.429975   0.38028E+01
     3.859708   0.000000   0.000000   0.876906   0.123094   0.486415   0.45016E+01
     3.911399   0.000000   0.000000   0.851362   0.148638   0.550217   0.53673E+01
     3.963185   0.000000   0.000000   0.819305   0.180695   0.621847   0.64199E+01
     4.015085   0.000000   0.000000   0.778758   0.221242   0.701826   0.75981E+01
     4.067175   0.000000   0.000000   0.727205   0.272795   0.788006   0.88766E+01
     4.119472   0.000000   0.000000   0.661678   0.338322   0.876951   0.10230E+02
     4.171991   0.000000   0.000000   0.579664   0.420336   0.958355   0.11026E+02
     4.224805   0.000000   0.000000   0.481390   0.518610   1.014468   0.10674E+02
     4.277991   0.000000   0.000000   0.372682   0.627318   1.017688   0.92270E+01
     4.331410   0.000000   0.000000   0.266206   0.733794   0.941472   0.72404E+01
     4.384909   0.000000   0.000000   0.175854   0.824146   0.784363   0.54282E+01
     4.438218   0.000000   0.000000   0.108997   0.891003   0.583063   0.40249E+01
     4.491142   0.000000   0.000000   0.064573   0.935427   0.391258   0.30489E+01
     4.543630   0.000000   0.000000   0.037156   0.962844   0.242753   0.24139E+01
     4.595760   0.000000   0.000000   0.021001   0.978999   0.142813   0.20264E+01
     4.647657   0.000000   0.000000   0.011745   0.988255   0.081352   0.18086E+01
     4.699432   0.000000   0.000000   0.006527   0.993473   0.045519   0.17003E+01
     4.751161   0.000000   0.000000   0.003613   0.996387   0.025179   0.16600E+01
     4.802894   0.000000   0.000000   0.001995   0.998005   0.013887   0.16624E+01
     4.854652   0.000000   0.000000   0.001100   0.998900   0.007620   0.16922E+01
     4.906443   0.000000   0.000000   0.000606   0.999394   0.004166   0.17398E+01
     4.958269   0.000000   0.000000   0.000333   0.999667   0.002271   0.17983E+01
     5.010136   0.000000   0.000000   0.000183   0.999817   0.001242   0.18633E+01
     5.062050   0.000000   0.000000   0.000101   0.999899   0.000672   0.19325E+01
     5.114012   0.000000   0.000000   0.000056   0.999944   0.000366   0.20053E+01
     5.166022   0.000000   0.000000   0.000030   0.999970   0.000200   0.20808E+01
     5.218078   0.000000   0.000000   0.000017   0.999983   0.000114   0.21586E+01
     5.270179   0.000000   0.000000   0.000009   0.999991   0.000055   0.22390E+01
     5.322323   0.000000   0.000000   0.000004   0.999996   0.000034   0.23217E+01
     5.374508   0.000000   0.000000   0.000004   0.999996   0.000019   0.24057E+01
     5.426733   0.000000   0.000000   0.000002   0.999998   0.000003   0.24916E+01
     5.478999   0.000000   0.000000   0.000003   0.999997   0.000007   0.25817E+01
     5.531303   0.000000   0.000000   0.000003   0.999997  -0.000003   0.26785E+01
     5.583642   0.000000   0.000000   0.000004   0.999996  -0.000003   0.27804E+01
     5.636017   0.000000   0.000000   0.000002   0.999998  -0.000004   0.28799E+01
     5.688426   0.000000   0.000000   0.000000   1.000000   0.000007   0.29760E+01
     5.740870   0.000000   0.000000   0.000000   1.000000   0.000000   0.30746E+01
     5.793346   0.000000   0.000000   0.000000   1.000000   0.000000   0.31796E+01
     5.845855   0.000000   0.000000   0.000000   1.000000   0.000000   0.32908E+01
     5.898394   0.000000   0.000000   0.000000   1.000000   0.000000   0.34039E+01
     5.950962   0.000000   0.000000   0.000000   1.000000   0.000000   0.35156E+01
     6.003558   0.000000   0.000000   0.000000   1.000000   0.000000   0.36253E+01
     6.056182   0.000000   0.000000   0.000000   1.000000   0.000000   0.37373E+01
     6.108832   0.000000   0.000000   0.000000   1.000000   0.000000   0.38566E+01
     6.161507   0.000000   0.000000   0.000000   1.000000   0.000000   0.39831E+01
     6.214208   0.000000   0.000000   0.000000   1.000000   0.000000   0.41140E+01
     6.266934   0.000000   0.000000   0.000000   1.000000   0.000000   0.42455E+01
     6.319682   0.000000   0.000000   0.000000   1.000000   0.000000   0.43784E+01
     6.372453   0.000000   0.000000   0.000000   1.000000   0.000000   0.45152E+01
     6.425247   0.000000   0.000000   0.000000   1.000000   0.000000   0.46560E+01
     6.478062   0.000000   0.000000   0.000000   1.000000   0.000000   0.48005E+01
     6.530897   0.000000   0.000000   0.000000   1.000000   0.000000   0.49479E+01
     6.583752   0.000000   0.000000   0.000000   1.000000   0.000000   0.50997E+01
     6.636627   0.000000   0.000000   0.000000   1.000000   0.000000   0.52570E+01
     6.689520   0.000000   0.000000   0.000000   1.000000   0.000000   0.54189E+01
     6.742432   0.000000   0.000000   0.000000   1.000000   0.000000   0.55846E+01
     6.795361   0.000000   0.000000   0.000000   1.000000   0.000000   0.57545E+01
     6.848308   0.000000   0.000000   0.000000   1.000000   0.000000   0.59307E+01
     6.901271   0.000000   0.000000   0.000000   1.000000   0.000000   0.61144E+01
     6.954251   0.000000   0.000000   0.000000   1.000000   0.000000   0.63053E+01
     7.007246   0.000000   0.000000   0.000000   1.000000   0.000000   0.65033E+01
     7.060258   0.000000   0.000000   0.000000   1.000000   0.000000   0.67082E+01
     7.113285   0.000000   0.000000   0.000000   1.000000   0.000000   0.69199E+01
     7.166326   0.000000   0.000000   0.000000   1.000000   0.000000   0.71388E+01
     7.219384   0.000000   0.000000   0.000000   1.000000   0.000000   0.73663E+01
     7.272455   0.000000   0.000000   0.000000   1.000000   0.000000   0.76033E+01
     7.325540   0.000000   0.000000   0.000000   1.000000   0.000000   0.78494E+01
     7.378640   0.000000   0.000000   0.000000   1.000000   0.000000   0.81045E+01
     7.431754   0.000000   0.000000   0.000000   1.000000   0.000000   0.83680E+01
     7.484882   0.000000   0.000000   0.000000   1.000000   0.000000   0.86380E+01
     7.538022   0.000000   0.000000   0.000000   1.000000   0.000000   0.89138E+01
     7.591176   0.000000   0.000000   0.000000   1.000000   0.000000   0.91968E+01
     7.644342   0.000000   0.000000   0.000000   1.000000   0.000000   0.94882E+01
     7.697521   0.000000   0.000000   0.000000   1.000000   0.000000   0.97896E+01
     7.750711   0.000000   0.000000   0.000000   1.000000   0.000000   0.10103E+02
     7.803913   0.000000   0.000000   0.000000   1.000000   0.000000   0.10427E+02
     7.857127   0.000000   0.000000   0.000000   1.000000   0.000000   0.10762E+02
